Company,CEO,Video Title,Video URL
3M,Mr. Michael F. Roman,This can happen in Thailand,https://www.youtube.com/watch?v=BnWGNHx4XUI
3M,Mr. Michael F. Roman,which side are you on? 🇮🇱/🇵🇸 #israel #freepalestine #idf #shortsvideo,https://www.youtube.com/watch?v=Utxn_Cf8PqQ
3M,Mr. Michael F. Roman,Crazy tick removal? Or fake?,https://www.youtube.com/watch?v=b0r7RHBmZ-4
3M,Mr. Michael F. Roman,Harrison Ford responds to rude comment during Indiana Jones 5 Cannes premiere #indianajones,https://www.youtube.com/watch?v=xDZvZqGPSnE
3M,Mr. Michael F. Roman,Hilfe Stiefbruder☠️,https://www.youtube.com/watch?v=CiHUi7Y9Itc
3M,Mr. Michael F. Roman,Conor McGregor Talks about Sheamus before he joined WWE,https://www.youtube.com/watch?v=39OCq6YkZr0
3M,Mr. Michael F. Roman,American Army vs Russian Army Comparison #subscribe  #shorts,https://www.youtube.com/watch?v=lInz3U2FGcQ
3M,Mr. Michael F. Roman,The most iconic scene in Hollywood history✨ #marilynmonroe #janerussell,https://www.youtube.com/watch?v=FY0nT3--SL8
3M,Mr. Michael F. Roman,free Palestine? #shorts #freepalestine #viral #palestine #israel,https://www.youtube.com/watch?v=bPd1-CT761Y
3M,Mr. Michael F. Roman,Growing up Pentecostal... #short,https://www.youtube.com/watch?v=O_NdtKqgkaA
A. O. Smith,Mr. Kevin J. Wheeler,DEMONS 👿 👿 MANIFEST during water baptism!! - REACTION #jesus #bible #demons #christianity,https://www.youtube.com/watch?v=L8_XhMU6KbI
A. O. Smith,Mr. Kevin J. Wheeler,Top 10 Actors Who Destroyed Their Careers With Plastic Surgery | Marathon,https://www.youtube.com/watch?v=5oM_Ko2HiUs
A. O. Smith,Mr. Kevin J. Wheeler,"Chris Langan: IQ, Free Will, Psychedelics, CTMU, &amp; God",https://www.youtube.com/watch?v=N-bRM1kYuNA
A. O. Smith,Mr. Kevin J. Wheeler,"Wheel of Fortune Player Was Acting Strangely With Her Letter Pick, Then Pat Sajak Realize Why",https://www.youtube.com/watch?v=lG2LtzFOpss
A. O. Smith,Mr. Kevin J. Wheeler,The Denzel Washington Interview That Left Katie Couric Shaken,https://www.youtube.com/watch?v=1gCBxbNp25w
A. O. Smith,Mr. Kevin J. Wheeler,Unbreakable Ice Cream Safe,https://www.youtube.com/watch?v=9e9D7ABgHpU
A. O. Smith,Mr. Kevin J. Wheeler,What Next? Surviving the 21st Century,https://www.youtube.com/watch?v=j7IE2pLHIrQ
A. O. Smith,Mr. Kevin J. Wheeler,Staged Right: The Creation of Evita,https://www.youtube.com/watch?v=wivRS9LHSN0
A. O. Smith,Mr. Kevin J. Wheeler,The Unauthorized Truth About Oliver Stone&#39;s &#39;The Doors&#39; (2022 Update),https://www.youtube.com/watch?v=1igiKANb16Q
A. O. Smith,Mr. Kevin J. Wheeler,What No One Realizes About Barron Trump,https://www.youtube.com/watch?v=Ac74TvZ7wII
Abbott Laboratories,Mr. Robert B. Ford,Denmark official faints during Covid-19 conference,https://www.youtube.com/watch?v=KYtkbH8oKT4
Abbott Laboratories,Mr. Robert B. Ford,returning rubbish to fly tipper,https://www.youtube.com/watch?v=BPEeQBKLtIE
Abbott Laboratories,Mr. Robert B. Ford,People before and after prison😳 #shorts,https://www.youtube.com/watch?v=7TkIJ-5lvg4
Abbott Laboratories,Mr. Robert B. Ford,SKINHEAD vs STREET FIGHTER PRISON BEEF DIRTIEST HEAVY WEIGHT KO,https://www.youtube.com/watch?v=AmwpM1PpcbU
Abbott Laboratories,Mr. Robert B. Ford,15 Celebrities You Didn&#39;t Know Were Gay!,https://www.youtube.com/watch?v=H7f2Jv2nts8
Abbott Laboratories,Mr. Robert B. Ford,Funniest Joke I Ever Heard 1984 Jimmy Stewart,https://www.youtube.com/watch?v=3IiICcSH8iY
Abbott Laboratories,Mr. Robert B. Ford,HMP Prisoner Hides In His Cell UK,https://www.youtube.com/watch?v=7J17DobfpPQ
Abbott Laboratories,Mr. Robert B. Ford,If It Were Not Filmed No One Would Believe It,https://www.youtube.com/watch?v=Kzw3_Hb9xAE
Abbott Laboratories,Mr. Robert B. Ford,She Didn’t Know That A Camera Was Watching Her!,https://www.youtube.com/watch?v=VmJ9jek6DXU
Abbott Laboratories,Mr. Robert B. Ford,The worst book I bought because of BookTok,https://www.youtube.com/watch?v=YvAe3e9uVCo
AbbVie,Mr. Richard A. Gonzalez,Abbvie CEO on Accelerating Innovation at Allergan Aesthetics with $6.5 Billion R&amp;D Budget,https://www.youtube.com/watch?v=l266BT83PYM
AbbVie,Mr. Richard A. Gonzalez,AbbVie Inc. success story | American publicly traded biopharmaceutical company | Richard A. Gonzalez,https://www.youtube.com/watch?v=pfrHzt8bNN8
AbbVie,Mr. Richard A. Gonzalez,Dr. Grant Stevens and AbbVie CEO Discuss $63 BILLION Allergan Acquisition,https://www.youtube.com/watch?v=gj4Hbe5GAlQ
AbbVie,Mr. Richard A. Gonzalez,"WANTED: Richard Gonzales, AbbVie CEO",https://www.youtube.com/watch?v=hi6k95zmB0s
AbbVie,Mr. Richard A. Gonzalez,Rep. Katie Porter Schools Big Pharma CEO,https://www.youtube.com/watch?v=KMg1qxUg1LE
AbbVie,Mr. Richard A. Gonzalez,"Ropes &amp; Gray Dinner Program and Fireside Chat: Richard Gonzalez, CEO, AbbVie",https://www.youtube.com/watch?v=p4rtZXXliik
AbbVie,Mr. Richard A. Gonzalez,"Abbvie CEO on Allergan acquisition, coronavirus&#39; effect on demand and more",https://www.youtube.com/watch?v=oMoc7pQ235k
AbbVie,Mr. Richard A. Gonzalez,Big Pharma CEO Walks RIGHT INTO Katie Porter&#39;s Trap,https://www.youtube.com/watch?v=Hzh0-JgR8Yg
AbbVie,Mr. Richard A. Gonzalez,"Richard Gonzalez, U.S. House 4th district Democratic primary candidate",https://www.youtube.com/watch?v=GGqTKkfbSOA
AbbVie,Mr. Richard A. Gonzalez,Ro Khanna Grills AbbVie CEO at Oversight Hearing,https://www.youtube.com/watch?v=vdP4L4GuVXU
Accenture,Ms. Julie T. Spellman Sweet,World&#39;s Top 10 Most Powerful Women,https://www.youtube.com/watch?v=KBKwS2lzPVE
Accenture,Ms. Julie T. Spellman Sweet,"During the pandemic the work world changed, Women&#39;s CoLab is here to help you grow your career",https://www.youtube.com/watch?v=sGOTt9RNeqI
Adobe Inc.,Mr. Shantanu  Narayen,"CNBC&#39;s full interview with Adobe CEO Shantanu Narayen on earnings, coronavirus",https://www.youtube.com/watch?v=TA_Iy1YZi-U
Adobe Inc.,Mr. Shantanu  Narayen,"Interview with Shantanu Narayen, President &amp; CEO, Adobe Systems Incorporated   YouTube",https://www.youtube.com/watch?v=O7tGC0XgsO0
Adobe Inc.,Mr. Shantanu  Narayen,Shantanu Narayen Interview,https://www.youtube.com/watch?v=otnu3xYiFQE
